step,epoch,elapsed_seconds,cross_refusal_deception_cosine,cross_refusal_sycophancy_cosine,cross_sycophancy_deception_cosine,deception_auroc_current,deception_auroc_fixed,deception_cosine_to_baseline,deception_direction_norm,deception_measurement_seconds,refusal_auroc_current,refusal_auroc_fixed,refusal_cosine_to_baseline,refusal_direction_norm,refusal_measurement_seconds,sycophancy_auroc_current,sycophancy_auroc_fixed,sycophancy_cosine_to_baseline,sycophancy_direction_norm,sycophancy_measurement_seconds
0,0.0,57.671970449000014,0.08832664042711258,0.038117989897727966,-0.004662435967475176,1.0,1.0,1.0,0.8912303447723389,17.32926261299997,1.0,1.0,0.9999999403953552,2.6284518241882324,15.909359378999966,1.0,1.0,1.0,0.1831756979227066,27.60242778099996
50,0.16,752.4419765360001,0.12509706616401672,0.02383589744567871,-0.03790002316236496,0.97,0.995,0.8407858610153198,0.8508134484291077,16.968553173999908,0.9650000000000001,0.9774999999999999,0.8581374287605286,2.070711851119995,16.315878594000196,0.935,0.9575,0.8266656994819641,0.12807877361774445,27.759498500999825
100,0.32,1447.446683268,0.12190386652946472,0.018896110355854034,-0.012774532660841942,0.995,1.0,0.8114444017410278,0.898158848285675,16.91226390199995,0.9575,0.9724999999999999,0.8024616241455078,1.9777199029922485,16.247821951999867,0.955,0.975,0.8133910894393921,0.17202937602996826,27.662707976000092
150,0.48,2124.047355529,0.12663087248802185,0.027010606601834297,-0.018202967941761017,0.9550000000000001,0.975,0.8182910680770874,0.7439086437225342,16.902878897999926,0.945,0.965,0.7874089479446411,1.9806777238845825,16.193054585000027,0.9650000000000001,0.9700000000000001,0.8189996480941772,0.14837884902954102,27.718330412999876
200,0.64,2813.119549688,0.15780788660049438,0.027622656896710396,-0.00823574885725975,0.995,1.0,0.7862004041671753,0.9531862139701843,16.960237515000244,0.94,0.9624999999999999,0.7542088031768799,2.011807680130005,16.171879563999937,1.0,1.0,0.8002172708511353,0.16350987553596497,27.740320946999873
250,0.8,3501.952868919,0.16155162453651428,0.033206790685653687,-0.004670770838856697,0.9924999999999999,0.9974999999999999,0.8221455812454224,0.8930665850639343,16.933384584000123,0.945,0.9650000000000001,0.8008097410202026,2.0260214805603027,16.27181802899986,1.0,1.0,0.8126465678215027,0.15551549196243286,27.808197911000207
300,0.96,4188.77966897,0.14939528703689575,0.03127618879079819,-0.009105438366532326,0.9824999999999999,0.995,0.812001645565033,0.7672180533409119,16.890804527,0.9349999999999999,0.9650000000000001,0.7498393058776855,1.9024808406829834,16.199208775999978,1.0,1.0,0.8043301105499268,0.16291911900043488,27.719553242000075
350,1.1184,4870.999246121,0.14317956566810608,0.0238539706915617,-0.007495732977986336,0.975,0.985,0.7908544540405273,0.8182844519615173,16.917293319000237,0.9349999999999999,0.97,0.7283975481987,1.9922209978103638,16.262576449000335,1.0,1.0,0.739322304725647,0.17782382667064667,27.776895064999735
400,1.2784,5573.666379933,0.1389714926481247,0.019086208194494247,-0.02358480915427208,0.99,0.985,0.7911490201950073,0.7375914454460144,16.963689295000222,0.95,0.9675,0.7464741468429565,2.0157225131988525,16.20515278699986,1.0,1.0,0.7461990118026733,0.19339732825756073,27.727491683000153
450,1.4384000000000001,6257.937406787,0.16427269577980042,0.013369619846343994,-0.029918432235717773,0.9650000000000001,0.9675,0.7826367020606995,0.7134636640548706,16.9422977309996,0.945,0.9650000000000001,0.7468682527542114,2.1434824466705322,16.266641078999783,1.0,1.0,0.7191256284713745,0.1785394549369812,27.743634863999432
500,1.5984,6936.166990383,0.15575021505355835,0.025889094918966293,-0.019019125029444695,0.975,0.9824999999999999,0.7892849445343018,0.834464430809021,16.926415875999737,0.94,0.9675,0.7359333038330078,2.143432140350342,16.215748350000467,1.0,1.0,0.7177935838699341,0.19226902723312378,27.783952769999814
550,1.7584,7614.450236408,0.14908693730831146,0.03125646710395813,-0.017578385770320892,0.9874999999999999,0.9924999999999999,0.7766062021255493,0.9509373903274536,16.956186327999603,0.9425,0.9675,0.7352075576782227,2.154428243637085,16.184830833999513,1.0,1.0,0.7015829086303711,0.20300538837909698,27.735432557999957
600,1.9184,8306.558631727,0.1479467749595642,0.022059716284275055,-0.02124718949198723,0.9750000000000001,0.985,0.7937949299812317,0.7653234004974365,16.92854137299946,0.9475,0.97,0.7612676620483398,2.1361804008483887,16.2028633179998,1.0,1.0,0.738025426864624,0.2058078646659851,27.633965470000476
650,2.0768,8992.798940135,0.14400388300418854,0.022100942209362984,-0.02572314813733101,0.9475,0.96,0.7650487422943115,0.6914887428283691,16.96020367299934,0.9500000000000001,0.9675,0.7459750771522522,2.113077402114868,16.22910254300041,1.0,1.0,0.7074421644210815,0.21717390418052673,27.8056207289992
700,2.2368,9690.267536084,0.14942960441112518,0.015973646193742752,-0.018533220514655113,0.9575,0.9550000000000001,0.7507280707359314,0.6651714444160461,16.909064486000716,0.9500000000000001,0.9675,0.7340468764305115,2.1387650966644287,16.217653787998643,1.0,1.0,0.6588503122329712,0.23672987520694733,27.871322768000027
750,2.3968,10384.290436082,0.13464027643203735,0.01432073675096035,-0.02931947633624077,0.9674999999999999,0.9575,0.7538858652114868,0.7003275156021118,16.949740072999703,0.9500000000000001,0.9675,0.741176962852478,2.143404245376587,16.262742601000355,1.0,1.0,0.6602545380592346,0.2418294996023178,27.777027967000322
800,2.5568,11066.537897703,0.13394644856452942,0.016606228426098824,-0.03412060812115669,0.9674999999999999,0.9575,0.7655259966850281,0.7067113518714905,16.919223865001186,0.95,0.9650000000000001,0.7429347038269043,2.164686679840088,16.2167694460004,1.0,1.0,0.6674022674560547,0.24472829699516296,27.783365187000527
850,2.7168,11752.311765532,0.13998368382453918,0.0164220929145813,-0.030389439314603806,0.97,0.9575,0.7511917352676392,0.7069018483161926,16.957765725999707,0.95,0.9675,0.7287965416908264,2.130437135696411,16.243078135999895,1.0,1.0,0.6451250910758972,0.2490992546081543,27.77486265599873
900,2.8768000000000002,12446.294676534,0.14006343483924866,0.017966032028198242,-0.030073389410972595,0.9674999999999999,0.9600000000000001,0.749562680721283,0.7024350166320801,16.911157679000098,0.9475,0.9675,0.7251279950141907,2.138188362121582,16.20777559199996,1.0,1.0,0.643622875213623,0.24904978275299072,27.694105574000787
939,3.0,12988.761908912,0.13992618024349213,0.017668940126895905,-0.029970357194542885,0.9674999999999999,0.9600000000000001,0.7521034479141235,0.707326352596283,16.975051946999884,0.9475,0.965,0.7269377708435059,2.1392369270324707,16.228756563001298,1.0,1.0,0.6450932621955872,0.2515561282634735,27.65182627699869
