step,epoch,elapsed_seconds,cross_refusal_deception_cosine,cross_refusal_sycophancy_cosine,cross_sycophancy_deception_cosine,deception_auroc_current,deception_auroc_fixed,deception_cosine_to_baseline,deception_direction_norm,deception_measurement_seconds,refusal_auroc_current,refusal_auroc_fixed,refusal_cosine_to_baseline,refusal_direction_norm,refusal_measurement_seconds,sycophancy_auroc_current,sycophancy_auroc_fixed,sycophancy_cosine_to_baseline,sycophancy_direction_norm,sycophancy_measurement_seconds
0,0.0,72.985149621,-0.0053324345499277115,-0.01275562308728695,0.006553624756634235,1.0,1.0,0.9999946355819702,0.37730419635772705,17.993806812000003,1.0,1.0,0.999998152256012,18.59454345703125,17.69732077699996,1.0,1.0,0.9999811053276062,0.34384676814079285,32.15168641900004
50,0.16,865.45697132,-0.03563729673624039,-0.003084125928580761,0.005475996993482113,1.0,1.0,0.9993767738342285,0.3784221112728119,18.49978573700014,1.0,1.0,0.33818599581718445,11.52219009399414,17.57907580799997,1.0,1.0,0.9237082004547119,0.39236870408058167,31.67111267899986
100,0.32,1654.377299283,-0.024637460708618164,0.005472876597195864,-0.0034942887723445892,1.0,1.0,0.9970881342887878,0.36973509192466736,18.32125624399987,0.9525,0.995,0.3782142400741577,9.370057106018066,17.53859775500041,1.0,1.0,0.8826356530189514,0.39936885237693787,31.583440554999925
150,0.48,2427.46370212,-0.008476510643959045,-0.00822608731687069,0.001367910299450159,1.0,1.0,0.9974820613861084,0.37204232811927795,18.348562029000277,0.9675,1.0,0.4001731276512146,10.355743408203125,17.57744639700013,1.0,1.0,0.8670299053192139,0.4200064241886139,31.58517288100029
200,0.64,3213.795878883,0.008844839408993721,-0.025656720623373985,0.001289432868361473,1.0,1.0,0.9975436925888062,0.37340521812438965,18.34936391300016,0.95,0.995,0.3942616581916809,11.500905990600586,17.5247902709998,0.995,1.0,0.8360261917114258,0.42764991521835327,31.578178210999795
250,0.8,4001.5640598890004,0.013069521635770798,-0.01547308824956417,0.0014705704525113106,1.0,1.0,0.9970980286598206,0.3714026212692261,18.329884254000717,0.9575,0.995,0.39821234345436096,10.900404930114746,17.517338597999697,0.9974999999999999,1.0,0.8579063415527344,0.3870142102241516,31.79927106499963
300,0.96,4785.8273846150005,0.008073439821600914,-0.02003488317131996,-0.003480682149529457,1.0,1.0,0.9972819089889526,0.37319764494895935,18.514659900999504,0.965,0.9925,0.3918721377849579,9.492877006530762,17.538455960000647,0.995,1.0,0.827131986618042,0.3948432207107544,31.64152733499941
350,1.1184,5567.8896893050005,0.014903239905834198,-0.027532564476132393,-0.0013403305783867836,1.0,1.0,0.997846245765686,0.3782590329647064,18.40734505599994,0.9525,0.99,0.3967430293560028,10.808349609375,17.489458430000013,0.995,1.0,0.8261802792549133,0.3908199667930603,31.716801910999493
400,1.2784,6347.8243588020005,0.012726804241538048,-0.02967260405421257,-0.004989509470760822,1.0,1.0,0.9977072477340698,0.3767763078212738,18.41148653900018,0.9325,0.9824999999999999,0.37363201379776,9.617563247680664,17.49368739700003,0.9974999999999999,1.0,0.8542834520339966,0.3756522238254547,31.546077255000455
450,1.4384000000000001,7122.117571183,0.014132294803857803,-0.02614597976207733,-0.006029991433024406,1.0,1.0,0.9976053237915039,0.37860924005508423,18.492885701999512,0.9525000000000001,0.9925,0.4019152522087097,10.480986595153809,17.396501724999325,0.9974999999999999,1.0,0.8520680665969849,0.3618990480899811,31.568157779000103
500,1.5984,7919.551490024,0.015935931354761124,-0.028514213860034943,-0.00501637626439333,1.0,1.0,0.9974637031555176,0.3783324956893921,18.519034456001464,0.96,0.995,0.3968718647956848,10.502351760864258,17.428431791999174,0.9974999999999999,1.0,0.8419302701950073,0.36250004172325134,31.576951443001235
550,1.7584,8716.60399957,0.011076889000833035,-0.028084618970751762,-0.0011551948264241219,1.0,1.0,0.9970395565032959,0.37497103214263916,18.47375430699867,0.9524999999999999,0.9925,0.3735183775424957,9.959158897399902,17.561411483000484,0.9974999999999999,1.0,0.8026121854782104,0.3853357136249542,31.587932787999307
600,1.9184,9496.356961216,0.010307738557457924,-0.03169677406549454,-0.0021295687183737755,1.0,1.0,0.9964946508407593,0.3742620348930359,18.39181015899885,0.95,0.9925,0.3860781788825989,9.981465339660645,17.453449695998643,0.99,1.0,0.7799948453903198,0.39076173305511475,31.468640863000473
650,2.0768,10276.576984428,0.00983845442533493,-0.03284040093421936,-0.006587782874703407,1.0,1.0,0.9969537258148193,0.37607625126838684,18.333702258998528,0.95,0.99,0.3786405920982361,10.513276100158691,17.510602331998598,0.985,1.0,0.7817713022232056,0.37860414385795593,31.578857005999453
700,2.2368,11054.411576895,0.009335113689303398,-0.033258724957704544,-0.007613425143063068,1.0,1.0,0.9970681071281433,0.3779855966567993,18.40510293800071,0.9575,0.99,0.3772140145301819,11.366506576538086,17.5044920069995,0.9824999999999999,1.0,0.7719753980636597,0.37523096799850464,31.58676806299991
750,2.3968,11823.572322754,0.00959351472556591,-0.03200304135680199,-0.007601851597428322,1.0,1.0,0.9969923496246338,0.3786519467830658,18.362314767999123,0.9575,0.9925,0.37288200855255127,10.716089248657227,17.479062091999367,0.9775,1.0,0.7620041370391846,0.3699035346508026,31.62606793100167
800,2.5568,12617.509186856,0.012173250317573547,-0.03536427766084671,-0.007874326780438423,1.0,1.0,0.9969178438186646,0.3790113627910614,18.479233467000086,0.95,0.99,0.355884850025177,10.784707069396973,17.441082837000067,0.98,1.0,0.7791709899902344,0.3780314028263092,31.617275425000116
